date,quote,speaker,note,source,url
2021-01-07,ประชาชนจะต้องติดตั้งและใช้ระบบแอปพลิเคชั่น หมอชนะ ควบคู่กับการใช้แอปพลิเคชัน ไทยชนะ หากตรวจสอบแล้ว ไม่พบแอปพลิเคชั่น จะถือว่ามีความผิดด้วย <b>ถ้าป่วยแล้วมีไทยชนะถือว่าไม่มีความผิด แต่ถ้าไม่มีถือว่ามีความผิดตามพรก.ฉุกเฉิน</b>,taweesin,,MSN,https://www.msn.com/th-th/news/national/%E0%B8%94%E0%B9%88%E0%B8%A7%E0%B8%99-%E0%B8%AB%E0%B8%A1%E0%B8%AD%E0%B8%97%E0%B8%A7%E0%B8%B5%E0%B8%A8%E0%B8%B4%E0%B8%A5%E0%B8%9B%E0%B9%8C-%E0%B8%8A%E0%B8%B5%E0%B9%89%E0%B8%9B%E0%B9%88%E0%B8%A7%E0%B8%A2%E0%B9%82%E0%B8%84%E0%B8%A7%E0%B8%B4%E0%B8%94-%E0%B9%80%E0%B8%88%E0%B8%AD%E0%B9%84%E0%B8%A1%E0%B9%88%E0%B9%82%E0%B8%AB%E0%B8%A5%E0%B8%94%E0%B9%81%E0%B8%AD%E0%B8%9E-%E0%B8%AB%E0%B8%A1%E0%B8%AD%E0%B8%8A%E0%B8%99%E0%B8%B0-%E0%B8%9C%E0%B8%B4%E0%B8%94%E0%B8%95%E0%B8%B2%E0%B8%A1-%E0%B8%9E%E0%B8%A3%E0%B8%81%E0%B8%89%E0%B8%B8%E0%B8%81%E0%B9%80%E0%B8%89%E0%B8%B4%E0%B8%99%E0%B8%AF/ar-BB1cxBOk
2020-12-21,การระบาดระลอกใหม่ (Newly Emerging) เป็นการติดเชื้อใหม่จากอีกกลุ่ม (แรงงานต่างด้าว) ไม่ได้เชื่อมโยงกับการระบาดในระลอกแรก (สนามมวย/ผับที่ทองหล่อ) ซึ่งจบไปแล้วเมื่อเดือนเดือนพฤษภาคม,taweesin,,MSN,https://www.msn.com/th-th/news/national/%E0%B8%97%E0%B8%B3%E0%B9%84%E0%B8%A1%E0%B9%80%E0%B8%A3%E0%B8%B5%E0%B8%A2%E0%B8%81-%E0%B9%82%E0%B8%84%E0%B8%A7%E0%B8%B4%E0%B8%94%E0%B8%A3%E0%B8%B0%E0%B8%9A%E0%B8%B2%E0%B8%94%E0%B8%A3%E0%B8%B0%E0%B8%A5%E0%B8%AD%E0%B8%81%E0%B9%83%E0%B8%AB%E0%B8%A1%E0%B9%88-%E0%B8%AB%E0%B8%A1%E0%B8%AD%E0%B8%97%E0%B8%A7%E0%B8%B5%E0%B8%A8%E0%B8%B4%E0%B8%A5%E0%B8%9B%E0%B9%8C-%E0%B9%80%E0%B8%89%E0%B8%A5%E0%B8%A2%E0%B9%81%E0%B8%A5%E0%B9%89%E0%B8%A7/ar-BB1c6hwJ
2021-03-11,ผมคงไม่ได้ไปร่วมฉีดวัคซีนด้วย เพราะติดงาน ผมต้องบอกคุณด้วยหรือ <b>ถ้าผมช็อกตายไปจะทำยังไง</b> แต่ผมพร้อมตลอด ถ้าหมอให้ฉีด เพราะผมแก่แล้ว ผมไม่ใช่เด็กๆ จะเอาอะไรกับผมอีก,pravit,กล่าวกับสื่อมวลชนถึงประเด็นการฉีดวัคซีนของคณะรัฐมนตรี,Amarin,https://www.amarintv.com/news/detail/70366
2021-05-05,การเลือกซื้อวัคซีนของไทย เหตุใดถึงเลือกวัคซีน 2 ยี่ห้อ คือเอสตราเซเนกาและซิโนแวค ในเมื่อทั้งโลกรู้ว่าต้องยี่ห้อไฟเซอร์กับโมเดอร์นา ถ้าในจีนต้องซิโนฟาร์ม ก็ไม่รู้ว่าทำไมไทยถึงเลือก 2 ยี่ห้อนี้ <b>และขณะนี้มีการนำวัคซีนไฟเซอร์เข้ามาในประเทศไทยแล้ว แต่เอาเข้ามาไม่มาก คงเอามาใช้กับไม่กี่คน</b>,thaksin,,PPTV,https://www.pptvhd36.com/news/%E0%B8%AA%E0%B8%B8%E0%B8%82%E0%B8%A0%E0%B8%B2%E0%B8%9E/146850
2021-05-08,"The high-income countries reserved most of the doses. I became personally concerned with that and <b>I reached out to many heads of middle/low-income countries by letter, phone and even text</b> to urge them to reserve doses because the supply was limited.",bourla,,Bloomberg,https://www.bloomberg.c
2021-01-18,<b>รัฐบาลไม่ได้แสดงให้เห็นถึงความพยายามการจัดซื้อจัดหาวัคซีนล่วงหน้า</b> ถ้าเป็นผมต่อให้วัคซีนแพงผมก็จะซื้อ ผมรู้สึกว่าราคาสำคัญน้อยกว่าเวลา,thanatorn,,BBC,https://www.bbc.com/thai/thailand-55707353
2021-04-16,พวกเราเจ็บปวดไปด้วยกัน สถานการณ์ของเราไม่เท่ากับต่างประเทศ เพราะเรามีวินัย เมื่อไร่ที่เราไม่มีวินัยก็ก้าวไปสู่ความประมาท <b>วันนี้หากการ์ดตกมีคนออกมาชุมนุม ผมก็ไม่ได้ห้าม แต่อาจจะนำไปสู่การติดเชื้อ</b>,prayut,,กรุงเทพธุรกิจ,https://www.bangkokbiznews.com/news/detail/932781,
2021-02-07,วันนี้เราจะจัดหาวัคซีนเพิ่มขึ้นไปเรื่อย ๆ <b>ตอนนี้เราได้มาเท่าไหร่ก็ฉีดไปเท่านั้นก่อน เราไม่หยุดยั้งในการหาวัคซีนยี่ห้ออื่นที่จะจัดหาได้เพิ่มเติม</b> ไม่ใช่ว่าไม่คิดอะไร ไม่ทำอะไรต่อเลย แต่คิดตลอดเวลานะครับ,prayut,,BBC,https://www.bbc.com/thai/thailand-55969391
2021-04-29,ในรอบนี้ผู้ติดโรคจะไม่แสดงอาการ หรือแสดงอาการน้อยมากในระยะแรก <b>ประกอบกับประชาชนส่วนใหญ่มีความผ่อนคลายกับสถานการณ์การควบคุมโรคที่ดีขึ้นในห้วงเวลาที่ผ่านมา ไม่ค่อยระมัดระวังป้องกันตัวอย่างในช่วงต้นของการระบาด</b> จึงทำให้โรคแพร่กระจายไปในทุกพื้นที่ทั่วราชอาณาจักร,ratchakitcha,,ไทยรัฐ,https://www.thairath.co.th/news/politic/2080641,
2021-05-13,เนื่องจากในเดือนมิถุนายน มีวัคซีนเข้ามาเป็นจำนวนมาก ทางรัฐบาลจึงเปิดช่องทางอำนวยความสะดวกกับประชาชนให้มากที่สุด โดยจะแบ่งเป็นการให้บริการกับผู้ลงทะเบียนหมอพร้อม กลุ่มที่จองมาแบบหมู่คณะ องค์กร บริษัท กลุ่มที่ อสม. พามา และวอล์กอินจากประชาชนทั่วไป,anuthin,,มติชน,https://www.matichon.co.th/covid19/thai-covid19/news_2722233
2021-04-07,อะไรจะเกิด ก็ต้องเกิด เพราะเป็นเรื่องของคนจำนวนมาก ซึ่งต้องหาทางแก้ไข และเป็นช่วงของการกลับภูมิลำเนา ซึ่งแต่ละจังหวัดก็มีมาตรการคัดกรอง กักตัว ซึ่งรัฐบาลพยายามดำเนินการ <b>เพราะหากรัฐบาลจะปิดทั้งหมดแล้วให้อยู่บ้านก็ทำได้ แต่ถามว่าจะเอาหรือไม่ล่ะ</b>,prayut,ตอบกลับกรณีที่แพทย์กังวลว่าโควิด-19 สายพันธุ์อังกฤษ ที่สร้างคลัสเตอร์ทองหล่อมีความรุนแรง,ข่าวสด,https://www.khaosod.co.th/politics/news_6288870
2020-12-05,อีก 6 เดือนก็มีวัคซีนออกมา จึงขอให้มั่นใจไม่จำเป็นต้องปิดจังหวัด <b>เพราะโควิดกระจอก ถ้าเราเข้าใจและมีอาวุธพร้อม สามารถรับมือได้</b>,anuthin,,มติชน,https://www.matichon.co.th/politics/news_2473021
2021-01-25,คือผมไม่ใช่หมอก็ประคองตัวเองมาได้ 50 กว่าปีแล้วนี่นะครับ มันคือโรคหวัดโรคนึง จริงๆ ถามว่าถ้าไม่มีโรคระบาดอู่ฮั่น เราควรจะไปสัมผัสซากสัตว์ที่ตายแล้วไหม เราควรจะไปสัมผัสกับคนป่วยไหม เราควรจะไปกินค้างคาวไหม มันก็ไม่ควรทั้งนั้น <b>ใช้ชีวิตให้มันปกติ กินอาหารที่คนไทยเรากินกันทั่วไป รับรองไม่มีทางที่จะติดเชื้อได้อย่างแน่นอน</b>,anuthin,,Workpoint,https://workpointtoday.com/corona-virus-3/
2020-03-26,แพทย์ที่ติดเชื้อเพราะการปฏิบัติหน้าที่จากโรคโควิด 19 ยังไม่มี <b>นี่เป็นสิ่งที่ต้องไปหวดกัน เรื่องนี้พวกเราก็ไม่พอใจ สำหรับบุคลากรทางการแพทย์ที่ไม่เฝ้าระวังตัวเอง</b> ซึ่งพวกเราก็ต้องเป็นบุคคลตัวอย่าง ต้องตื่นตัวอยู่ตลอดเวลา,anuthin,กล่าวในตอนหนึ่งถึงแพทย์ที่ปฏิบัติหน้าที่จนติดโรค COVID-19,Kapook,https://covid-19.kapook.com/view223038.html
2021-04-21,<b>ประเทศไทยมีนักธุรกิจหลายคนมีความสามารถในการเจรจาซื้อวัคซีนจากต่างประเทศ</b> อย่างเช่น นายธนินท์ เจียรวนนท์ (ซีพี) อาจจะขอให้ไปช่วยเจรจากับรัฐบาลจีนขอซื้อวัคซีนซิโนฟาร์ม หรือนายเจริญ สิริวัฒนภักดี (ไทยเบฟเวอเรจ) น่าจะสามารถคุยรัฐบาลสิงคโปร์เพื่อขอซื้อวัคซีนไฟเซอร์ หรือนายสารัชถ์ รัตนาวะดี  (GULF) อาจจะไปคุยประเทศตะวันออกกลาง สั่งซื้อวัคซีนจอห์นสันแอนด์จอห์นสันเข้ามาได้ หรือแม้กระทั่งผมก็สามารถคุยกับ นายวลาดิเมียร์ ปูติน ประธานาธิบดีรัสเซีย เพื่อซื้อวัคซีนสปุตนิกไฟว์ <b>ขอให้บอกมาก็ยินดีพร้อมช่วย</b>,thaksin,,infoquest,https://www.infoquest.co.th/2021/79546
2021-04-17,ท่าน (นายกรัฐมนตรี) ให้กระทรวงการต่างประเทศไปติดต่อรัฐบาลรัสเซีย ดูว่ามีวัคซีน Sputnik ส่งให้ประเทศไทยในช่วงนี้ได้ไหม ถ้าส่งในอีก 3-4 เดือนก็ไม่จำเป็นเพราะเรามี AstraZeneca อยู่แล้ว <b>ตอนนี้วัคซัน  Sputnik ก็ดี ยี่ห้ออื่นๆ Pfizer ยังไม่มาขึ้นทะเบียนกับเรา เราไม่ได้ปิดกั้นนะครับ</b>,anuthin,,Voice TV,https://youtu.be/pdba4mSWtuc?t=350
2021-05-18,ผลสำรวจพบว่า ประชาชนร้อยละ 99.7 รับทราบมาตรการช่วยเหลือเยียวยาของภาครัฐ และพอใจโดยรวมต่อมาตรการช่วยเหลือเยียวยาของภาครัฐในระดับมากถึงมากที่สุดร้อยละ 81.2,trisulee,"ผลการสำรวจความคิดเห็นเกี่ยวกับมาตรการช่วยเหลือเยียวยาของภาครัฐ จากสถานการณ์โควิด-19 ของประชาชนที่มีอายุตั้งแต่ 18 ปีขึ้นไปทั่วประเทศ จำนวน 9,000 คน ระหว่างวันที่ 8-15 มี.ค. 2564 โดยสำนักงานสถิติแห่งชาติ",ข่าวสด,https://www.khaosod.co.th/politics/news_6405348
2021-05-19,เราคงไม่ไปใช้วัคซีนยี่ห้อ Hakuna Matata คือมาจากไหนไม่รู้ แต่จะซื้อจากประเทศที่มีนวัตกรรมทางการแพทย์น่าเชื่อถือ <b>และทุกชนิดต้องผ่าน อย. ที่มีมาตรฐานระดับโลก ส่วน WHO เป็นแค่อ้างอิงให้อุ่นใจขึ้นเท่านั้น</b>,anuthin,,The Matter,https://www.facebook.com/1721313428084052/posts/2891846921030691/
2021-05-24,การขยายระยะเวลารับวัคซีนแอสตร้าเซนเนก้า เข็มที่ 2 ได้มีการประกาศไปก่อนหน้านี้แล้วว่า สามารถรับเข็มที่ 2 ได้ 16 สัปดาห์ จากเดิม 12 สัปดาห์ ซึ่งมีข้อมูลวิชาการรองรับว่าภูมิคุ้มกันจะสูงขึ้นได้เร็ว,kiattiphoom,กล่าวถึงกรณีหลายโรงพยาบาลเลื่อนนัดการรับวัคซีนโควิด-19 ของแอสตร้าเซนเนก้าเข็มที่ 2 ออกไป,Workpoint,https://www.facebook.com/workpointTODAY/posts/1608024469566825
2021-05-26,<b>ประชาชนมีวัคซีนแน่นอน อย่าไปเน้นยี่ห้อ</b> ถ้าคุณเน้นยี่ห้อเดี๋ยวมันก็เกิดความกดดัน เดี๋ยวก็มีคนเครียดขึ้นมาอีก วัคซีนที่รัฐบาลไทยจะจัดให้กับประชาชนคือวัคซีนที่ป้องกันโรคโควิด-19 ป้องกันไม่ให้ติดเชื้อ ป้องกันไม่ให้แพร่เชื้อ ป้องกันไม่ให้ป่วยหนัก ป้องกันไม่ให้ตาย,anuthin,ตอบกลับเมื่อนักข่าวถามว่า วันที่ 7 มิถุนายน ประชาชนได้ฉีดวัคซีน AstraZeneca แน่นอนใช่ไหม,The Matter,https://www.facebook.com/thestandardth/photos/a.1725541161072102/2756915384601336/
2021-05-31,ก็เห็นๆ กันอยู่ว่าประชาชนขาดวัคซีน ขาดเตียง ขาดยา ขาดเครื่องช่วยหายใจ ไม่ได้ขาดกระสุนปืนใหญ่ ไม่ได้ขาดรถถังไม่ได้ขาดยานเกราะ <b>ถามจริงๆ ไม่ซื้ออาวุธกันสักปีจะชักดิ้นชักงอตายหรือไง</b>,wiroj,อภิปรายร่างพระราชบัญญัติงบประมาณรายจ่ายประจำปีงบประมาณ พ.ศ. 2565,พรรคก้าวไกล,https://www.facebook.com/MoveForwardPartyThailand/posts/327453245553369
2021-06-07,<b>สิ่งใดก็ตามที่ทำให้ทุกคนไม่สบายใจ ต้องขอโทษด้วย และจะทำให้ดีที่สุด เพื่อคนไทยทุกคน</b> ซึ่งการที่มีคนจำนวนมากก็ต้องมีปัญหา จะปฏิเสธความรับผิดชอบไม่ได้ จะทำให้ดีที่สุด,prayut,,The Opener,https://www.facebook.com/TheOpenerThailand/photos/a.116265180222714/290080776174486/
2021-06-14,ยืนยันว่าวัคซีนไม่ขาด และเดือน มิ.ย. จะมีการฉีดมากกว่า 6 ล้านโดส ปัญหาที่เกิดขึ้นเนื่องจาก <b>รพ.เอกชน ไม่ได้ตรวจสอบกลับไปที่ กทม. ก่อน แต่กลับออกประกาศในโซเซียล ทำให้ประชาชนเกิดความสับสน</b>,anuthin,,Workpoint,https://www.facebook.com/workpointTODAY/posts/1624071907962081
2021-06-14,การจัดหาวัคซีนเพิ่มเติม 50 ล้านโดส อาจทำให้มีปริมาณวัคซีนล้นเกินความต้องการ <b>รัฐอาจเตรียมมาตรการจูงใจและชะลอการสั่งซื้อวัคซีนเพื่อรอดูสถานการณ์ เพราะความต้องการวัคซีนมักจะมีมากในระยะแรก</b> หรือใน 2 เดือนแรก และหลังจากนั้นจะค่อยๆ ลดลง เหมือนกับปรากฎการณ์ที่เกิดขึ้นในประเทศที่มีการระบาดมาก่อน,jade,วุฒิสภา พิจารณา พ.ร.ก.กู้เงิน 5 แสนล้านบาท,NewsXtra,https://www.facebook.com/NewsXtraDotCo/posts/511007870316678
2021-06-14,"รพ. บอกไม่ได้รับการจัดสรรวัคซีนจาก กทม., สธ.บอก ส่งวัคซีนให้กทม.แล้ว, กทม. บอกได้รับวัคซีนจาก สธ. ไม่ครบ, รมต. บอกวัคซีนไม่ขาด ห้ามรพ. เลื่อนฉีด, Astra บอกส่งมอบวัคซีนให้ตามสัญญา, SBS บอกผลิตได้เยอะส่งให้ประเทศไหนได้บ้างไปถาม Astra, สบค. บอกเราภูมิใจที่ผลิตวัคซีนได้เองในประเทศ, <b>ปชช. บอกโอเค ไม่มีใครผิด กูผิดเองละกัน</b>",teerawat,,มติชน,https://www.facebook.com/MatichonOnline/photos/a.461578517728/10161304571862729/
2021-06-16,วันนี้ ผมขอแจ้งให้ทุกท่านทราบว่า <b>ผมตั้งเป้าเอาไว้ว่าประเทศไทยจะต้องเปิดประเทศทั้งประเทศให้ได้ภายใน 120 วันนับจากวันนี้</b> ส่วนเมืองท่องเที่ยวที่สำคัญๆ หากพร้อมได้เร็วกว่า ก็ควรทยอยเปิดให้ได้เร็วกว่านั้น,prayut,แถลงการณ์ผ่านโทรทัศน์รวมการเฉพาะกิจแห่งประเทศไทย,The Standard,https://thestandard.co/thailand-one-of-the-safest-countries-in-the-world/
2021-06-22,วัคซีนจีน ไม่ว่า ซิโนแวค หรือซิโนฟาร์ม เมื่อฉีด 2 เข็มแล้ว ภูมิต้านทานอาจจะยังต่ำอยู่ <b>แต่ถ้าเรากระตุ้นเข็ม 3 เข้าไป เราเชื่อว่าเข็ม 3 จะทำให้ภูมิต้านทานสูงเป็นน้องๆ ของ ไฟเซอร์</b> เพราะหลักการของการให้วัคซีน เมื่อมีเข็มกระตุ้นในเวลาที่เหมาะสมภูมิต้านทานจะขึ้นสูง 10 เท่า หรือกว่า 10 เท่า,yong,,Workpoint,https://www.facebook.com/NewsWorkpoint/posts/4283798284991804
2021-06-24,จากข้อมูลแนวทางการแก้ไขการระบาดที่ผ่านมา พบว่าทุกพื้นที่ท้องถิ่นและปกครองมีความเข้มแข็ง <b>การล็อกกรุงเทพมหานคร​ จะ​สามารถลดการแพร่ระบาดโควิด-19 ได้แน่นอน​ รวมทั้งแก้ไขปัญหาเตียงไม่พอ เนื่องจากประชาชนเดินทางกลับบ้านต่างจังหวัด</b> และติดโควิด ก็จะมีเตียงและการรักษาพยาบาลรองรับเพียงพอในแต่ละพื้นที่,anuphong,,มติชน,https://www.matichon.co.th/politics/news_2793226
2021-06-24,ยังไม่ได้รับรายงานเรื่องนี้ แต่คิดว่าคงมีเหตุผลของเขา แต่คุณภาพการรักษาพยาบาลไม่ตกลงอย่างแน่นอน <b>ถ้ามองเป็นกระจุกอาจเห็นมีความแน่นหนา ใกล้จุดไม่เพียงพอ ถ้ามองทั้งระบบเรายังบริหารจัดการได้</b>,anuthin,ตอบนักข่าวกรณี รพ.หลายแห่งไม่รับการตรวจคัดกรองโควิด 19 เนื่องจากเตียงค่อนข้างเต็มไม่มีรักษาผู้ป่วย,ช่อง 8,https://www.thaich8.com/news_detail/98322
2021-06-25,<b>เรื่องปิดร้านอาหารก็กำลังพิจารณาอยู่ แต่ไม่ได้ปิด แต่อาจจะมีเทกมีโฮม คันทรีโรด</b> หรือเปล่า โอเคไหม,prayut,,ไทยรัฐ,https://www.facebook.com/thairath/posts/10160695546757439
2021-06-28,<b>ก็รู้แหละเดือดร้อน ก็เดือดร้อนกันไปทั้งหมด พวกเราก็เดือดร้อนไม่น้อยกว่าท่าน มากกว่าท่านด้วย</b> เพราะทำยังไงให้ทุกคนสามารถดำรงชีวิตอยู่ได้ในช่วงนี้ แล้วก็อยากจะฝาก หลายประเทศก็เดือดร้อนยิ่งกว่าเราเยอะนะ ตอนนี้นะ,prayut,,Workpoint,https://www.facebook.com/workpointTODAY/posts/1636868003349138
2021-06-30,รัฐบาลได้ช่วยทุกอย่าง ช่วยทั้งร้านอาหาร ช่วยทั้งหมด ช่วยทั้งคน ทั้งกรรมการทั้งหมด คนทำงานทั้งหมด ทุกส่วน รัฐบาลออกมาช่วยไหม รัฐบาลช่วย 50% <b>ช่วยทั้งหมดแล้ว จะเอาอะไรอีก โว๊ะ</b>,pravit,,PPTV,https://www.pptvhd36.com/news/%E0%B8%AA%E0%B8%B1%E0%B8%87%E0%B8%84%E0%B8%A1/150533
2021-07-02,<b>เมื่อโทรไปสอบถามผู้ผลิตไฟเซอร์และโมเดอร์นา ซึ่งสนิทเป็นการส่วนตัวกับโรงพยาบาลเอกชนในไทยอยู่แล้ว มองไทยเป็นอะไรทำไมได้วัคซีนช้า ได้คำตอบว่าไทยไม่ยอมเซ็นสัญญา</b> นอกจากนั้นทางโรงพยาบาลเอกชนยังมองว่าไทยตรวจเชิงรุกน้อยมาก เราตรวจได้เพียงร้อยละ 5 ซึ่งตามคำแนะนำขององค์การอนามัยโลก ควรตรวจอย่างน้อยร้อยละ 15,boon,,เรื่องเล่าเช้านี้,https://ch3plus.com/news/program/247070
2021-07-02,องค์การเภสัชฯ ต้องได้รับคอนเฟิร์มออเดอร์จากสมาคมโรงพยาบาลเอกชน ว่าจะต้องการซื้อ(วัคซีนโมเดอร์นา)เท่าไหร่กันแน่ก่อน ผมอ่านในข่าวบอก มี 9 ล้าน สั่งไป 9 ล้านทำไมองค์การเภสัชฯ ไม่ซื้อ <b>เราลองนั่งคิดเล่นๆ นะครับ จะมีประชาชนถึง 9 ล้านคน จองซื้อวัคซีนด้วยตัวเอง ทั้งที่รัฐจัดหาวัคซีนให้จำนวนมากอยู่แล้วหรือ</b>,anuthin,,workpointTODAY,https://www.facebook.com/workpointTODAY/posts/1642723402763598
2021-07-05,<b>อย่าไปซีเรียส ลืมไปได้เลย</b> เป็นเพียงความเห็นด้วยซ้ำว่าในการประชุมแต่ละท่านมีความเห็นอย่างไร ก็รวบรวมมา ก็ถูกต้องแล้ว,anuthin,จากกรณีข้อคิดเห็นในการสรุปประชุมคณะกรรมการด้านวิชาการว่า ถ้าเอาวัคซีนไฟเซอร์มาฉีดกลุ่มบุคลากรทางการแพทย์ด่านหน้า แสดงว่าเรายอมรับว่าซิโนแวคไม่มีผลในการป้องกัน แล้วจะแก้ตัวยากมากขึ้น,ข่าวสด,https://www.khaosod.co.th/breaking-news/news_6490742
2021-07-07,ขอให้พี่น้องอีสานและภาคเหนือได้เข้าใจในประเด็นนี้ หลังจากกลับบ้านมาแล้วขอให้สร้างระยะห่าง <b>ภาคอีสานพื้นที่กว้างขวาง เถียงนาโมเดลเกิดขึ้น กลับมาแล้วขอให้ไปนอนในเถียงนา</b> ซึ่งส่วนใหญ่เป็นคนหนุ่มสาวป่วยก็อาการไม่มาก กักตัวเองนอนอยู่ตรงนั้น มีคนส่งข้าวส่งน้ำ ครอบครัวเดียวกัน ซึ่งน่ารักมากๆ,taweesin,,ไทยรัฐ,https://www.facebook.com/thairath/posts/10160719822442439
